Сайт;Рубрика;Тема статьи;Анкор;Ссылка;Тип
1;Промышленная автоматизация;Инженер АСУ ТП: чем занимается и как освоить профессию;инженер асу тп обучение;https://aso-cdo.ru/professionalnaya-perepodgotovka/informacionnye-tekhnologii-i-bezopasnost-pp/inzhener-asu-tp/;анкор клиента
1;Промышленная автоматизация;ТОП-5 SCADA-систем для промышленных предприятий;;;
1;Промышленная автоматизация;Что такое АСУ ТП и зачем она нужна заводам;АСУ ТП;https://ru.wikipedia.org/wiki/АСУ_ТП;траст
1;Промышленная автоматизация;Как цифровизация меняет производственные процессы;Ростех;https://rostec.ru/;траст
1;Промышленная автоматизация;PLC-контроллеры: виды и области применения;;;
1;Промышленная автоматизация;Перспективы автоматизации в российской промышленности;;;
2;Охрана труда;Переподготовка по пожарной безопасности 256 часов: кому нужна и что включает;переподготовка по пожарной безопасности 256 часов;https://aso-cdo.ru/professionalnaya-perepodgotovka/pozharnaya-bezopasnost/;анкор клиента
2;Охрана труда;ТОП-5 нарушений пожарной безопасности на предприятиях;;;
2;Охрана труда;Требования к ответственному за пожарную безопасность;МЧС России;https://mchs.gov.ru/;траст
2;Охрана труда;Как провести аудит пожарной безопасности на объекте;Трудовой кодекс;https://www.consultant.ru/document/cons_doc_LAW_34683/;траст
2;Охрана труда;Что изменилось в противопожарных нормах в 2026 году;;;
2;Охрана труда;Средства пожаротушения: виды и правила использования;;;
3;Медицина и здравоохранение;Медицинский регистратор: как пройти обучение и начать карьеру;медицинский регистратор обучение;https://aso-cdo.ru/spb/rabochie-professii/mediczinskij-registrator/;анкор клиента
3;Медицина и здравоохранение;ТОП-5 медицинских профессий без высшего образования;;;
3;Медицина и здравоохранение;Как устроена работа регистратуры в поликлинике;Минздрав;https://minzdrav.gov.ru/;траст
3;Медицина и здравоохранение;Цифровизация здравоохранения: электронные карты и МИС;ЕМИАС;https://emias.info/;траст
3;Медицина и здравоохранение;Обязанности медицинского регистратора: полный обзор;;;
3;Медицина и здравоохранение;Как устроиться на работу в поликлинику без медицинского образования;;;
